Open,High,Low,Close,Adj Close,Volume,Date,company
49.98,50.23,48.25,48.880001,48.259125,381300,2021-07-06,ABCB
48.279999,49.189999,47.849998,48.400002,47.785229,474200,2021-07-07,ABCB
47.150002,47.939999,46.380001,47.639999,47.034878,622300,2021-07-08,ABCB
48.759998,49.93,48.279999,49.84,49.206936,436800,2021-07-09,ABCB
49.099998,49.889999,48.66,49.810001,49.177315,418600,2021-07-12,ABCB
49.610001,49.759998,48.310001,48.540001,47.923447,324700,2021-07-13,ABCB
48.77,49.400002,47.52,47.82,47.212593,290900,2021-07-14,ABCB
47.330002,48.599998,47.330002,48.540001,47.923447,292600,2021-07-15,ABCB
48.919998,48.919998,47.02,47.16,46.560974,284400,2021-07-16,ABCB
45.630001,46.150002,44.919998,45.580002,45.001045,472200,2021-07-19,ABCB
45.490002,47.98,45.400002,46.52,45.929104,498900,2021-07-20,ABCB
47.09,47.970001,47.080002,47.48,46.876915,327200,2021-07-21,ABCB
47.43,47.43,45.450001,45.700001,45.119522,294800,2021-07-22,ABCB
45.689999,46.290001,45.060001,45.970001,45.386093,405000,2021-07-23,ABCB
46.380001,47.369999,46.119999,47.049999,46.45237,462500,2021-07-26,ABCB
46.66,47.59,46.25,47.330002,46.728817,468000,2021-07-27,ABCB
48.450001,49.400002,47.599998,48.919998,48.298615,568700,2021-07-28,ABCB
49.48,49.91,48.900002,49.130001,48.505951,416900,2021-07-29,ABCB
48.68,49.669998,48.279999,48.610001,47.992558,495000,2021-07-30,ABCB
48.700001,50.540001,48.220001,48.310001,47.696369,470100,2021-08-02,ABCB
48.580002,49.0,47.200001,48.759998,48.140652,375300,2021-08-03,ABCB
47.93,49.02,47.830002,47.889999,47.281704,297100,2021-08-04,ABCB
48.16,49.209999,48.16,49.16,48.535572,218600,2021-08-05,ABCB
50.060001,50.580002,49.560001,50.16,49.522869,405500,2021-08-06,ABCB
49.950001,50.439999,48.459999,49.970001,49.335281,512400,2021-08-09,ABCB
49.91,50.82,49.66,50.52,49.878296,1362000,2021-08-10,ABCB
