Open,High,Low,Close,Adj Close,Volume,Date,company
90.540001,90.639999,86.470001,88.32,87.122711,157300,2021-07-06,AIT
87.82,89.370003,87.5,88.980003,87.773773,138800,2021-07-07,AIT
86.830002,89.269997,86.160004,87.199997,86.017891,189500,2021-07-08,AIT
89.07,89.980003,88.480003,89.480003,88.266991,111400,2021-07-09,AIT
88.370003,89.760002,88.370003,89.650002,88.434677,117600,2021-07-12,AIT
88.709999,89.550003,87.839996,88.040001,86.846512,132900,2021-07-13,AIT
88.75,89.639999,87.370003,88.339996,87.142441,159200,2021-07-14,AIT
87.489998,89.199997,87.489998,88.330002,87.132584,72200,2021-07-15,AIT
89.290001,89.290001,86.559998,86.769997,85.593712,79100,2021-07-16,AIT
85.010002,85.790001,83.879997,84.949997,83.798386,94200,2021-07-19,AIT
85.129997,88.57,85.129997,87.919998,86.728134,217800,2021-07-20,AIT
89.129997,90.25,87.940002,88.269997,87.073395,75500,2021-07-21,AIT
87.940002,88.0,85.949997,86.25,85.080772,86000,2021-07-22,AIT
86.550003,88.230003,86.519997,87.93,86.737999,71800,2021-07-23,AIT
88.300003,88.739998,87.870003,88.489998,87.290405,82000,2021-07-26,AIT
87.379997,88.699997,86.809998,87.0,85.820618,102700,2021-07-27,AIT
87.739998,87.910004,85.779999,87.199997,86.017891,70600,2021-07-28,AIT
88.540001,89.470001,88.0,89.050003,87.842819,77600,2021-07-29,AIT
88.690002,89.790001,88.110001,89.699997,88.484009,98700,2021-07-30,AIT
90.0,90.709999,87.169998,87.510002,86.323692,88200,2021-08-02,AIT
88.599998,89.970001,87.190002,89.160004,87.951332,228200,2021-08-03,AIT
88.040001,88.379997,86.379997,86.660004,85.485222,93100,2021-08-04,AIT
87.419998,88.169998,85.599998,85.900002,84.735519,136900,2021-08-05,AIT
87.110001,88.440002,85.879997,87.389999,86.20533,95400,2021-08-06,AIT
87.199997,87.220001,85.769997,86.0,84.83416,46600,2021-08-09,AIT
85.760002,88.940002,85.760002,88.790001,87.586342,134300,2021-08-10,AIT
88.959999,90.650002,87.980003,90.510002,89.283035,88400,2021-08-11,AIT
90.690002,91.559998,90.410004,91.279999,90.042587,116600,2021-08-12,AIT
90.940002,90.940002,89.800003,90.32,89.418869,96100,2021-08-13,AIT
89.339996,90.220001,88.720001,88.779999,87.894234,90500,2021-08-16,AIT
89.230003,90.209999,87.449997,89.169998,88.280342,169800,2021-08-17,AIT
89.849998,91.050003,88.290001,88.309998,87.428917,128700,2021-08-18,AIT
87.449997,88.269997,85.5,85.879997,85.02317,112500,2021-08-19,AIT
85.599998,87.879997,85.599998,87.169998,86.300293,105600,2021-08-20,AIT
88.059998,88.620003,87.209999,88.110001,87.230927,81400,2021-08-23,AIT
88.080002,88.629997,87.529999,88.370003,87.488327,131400,2021-08-24,AIT
88.650002,89.589996,88.199997,88.360001,87.478432,94000,2021-08-25,AIT
87.980003,88.970001,86.629997,88.540001,87.656631,157400,2021-08-26,AIT
89.160004,91.980003,89.160004,91.449997,90.537598,159300,2021-08-27,AIT
91.739998,91.739998,90.32,90.400002,89.498077,71200,2021-08-30,AIT
89.989998,90.419998,88.790001,88.809998,87.923935,149800,2021-08-31,AIT
88.940002,89.050003,86.779999,87.669998,86.795311,80600,2021-09-01,AIT
87.809998,88.230003,87.209999,88.230003,87.349731,147800,2021-09-02,AIT
87.769997,88.089996,86.870003,87.379997,86.508202,72900,2021-09-03,AIT
87.07,87.599998,86.43,86.480003,85.617188,96900,2021-09-07,AIT
85.809998,87.540001,85.809998,87.330002,86.458702,142400,2021-09-08,AIT
87.470001,88.279999,86.629997,86.720001,85.85479,115100,2021-09-09,AIT
87.639999,87.690002,85.879997,86.010002,85.151878,96800,2021-09-10,AIT
86.540001,87.110001,85.290001,86.440002,85.577591,96700,2021-09-13,AIT
86.970001,86.970001,85.43,85.93,85.07267,112700,2021-09-14,AIT
85.639999,87.199997,85.459999,86.860001,85.993393,114800,2021-09-15,AIT
86.739998,87.260002,84.940002,85.0,84.151955,121500,2021-09-16,AIT
85.199997,85.239998,82.82,83.459999,82.627319,564800,2021-09-17,AIT
81.43,82.980003,80.93,82.730003,81.904602,129500,2021-09-20,AIT
83.629997,83.739998,81.669998,82.940002,82.112503,130600,2021-09-21,AIT
83.839996,86.110001,83.839996,85.279999,84.429153,119400,2021-09-22,AIT
85.650002,87.389999,85.650002,87.209999,86.339905,110400,2021-09-23,AIT
86.730003,88.940002,86.730003,88.449997,87.56752,151800,2021-09-24,AIT
89.230003,92.099998,89.220001,91.959999,91.042503,159100,2021-09-27,AIT
92.139999,93.199997,89.900002,90.050003,89.151566,128500,2021-09-28,AIT
90.93,92.419998,89.68,92.169998,91.250412,107600,2021-09-29,AIT
92.57,93.199997,89.919998,90.129997,89.230766,180100,2021-09-30,AIT
90.970001,92.879997,89.510002,91.790001,90.874207,139000,2021-10-01,AIT
91.529999,93.230003,91.529999,92.889999,91.963234,113300,2021-10-04,AIT
93.5,94.010002,92.449997,93.330002,92.398842,135800,2021-10-05,AIT
92.269997,93.360001,90.610001,92.699997,91.775124,101000,2021-10-06,AIT
93.660004,95.68,93.129997,95.379997,94.428391,316100,2021-10-07,AIT
95.309998,96.239998,94.849998,96.059998,95.101608,66900,2021-10-08,AIT
96.330002,97.019997,94.980003,95.019997,94.071976,74900,2021-10-11,AIT
95.580002,95.75,94.580002,94.980003,94.032387,96700,2021-10-12,AIT
95.050003,95.349998,93.529999,94.449997,93.50766,87200,2021-10-13,AIT
95.709999,97.029999,95.18,96.919998,95.953018,54900,2021-10-14,AIT
99.019997,99.099998,95.379997,95.419998,94.467987,148800,2021-10-15,AIT
95.25,97.360001,94.93,97.279999,96.309433,142000,2021-10-18,AIT
97.510002,97.510002,96.690002,97.010002,96.042122,55600,2021-10-19,AIT
96.900002,99.120003,96.589996,98.849998,97.86377,128400,2021-10-20,AIT
98.379997,100.279999,97.459999,100.260002,99.259712,181200,2021-10-21,AIT
100.900002,101.269997,99.830002,100.099998,99.101295,151300,2021-10-22,AIT
100.019997,102.129997,99.410004,101.93,100.91304,102500,2021-10-25,AIT
101.769997,102.269997,100.919998,101.540001,100.526932,95500,2021-10-26,AIT
100.540001,101.440002,95.830002,96.519997,95.557007,209700,2021-10-27,AIT
97.739998,99.32,96.620003,98.760002,97.774673,258100,2021-10-28,AIT
98.190002,99.769997,97.089996,97.480003,96.507439,157200,2021-10-29,AIT
97.879997,98.400002,96.940002,97.050003,96.081734,163900,2021-11-01,AIT
97.260002,97.580002,96.089996,96.660004,95.695625,125900,2021-11-02,AIT
95.970001,99.080002,95.849998,98.379997,97.398453,130200,2021-11-03,AIT
98.849998,99.919998,98.0,98.68,97.695465,106900,2021-11-04,AIT
100.169998,103.43,99.949997,103.150002,102.120865,111200,2021-11-05,AIT
104.389999,104.389999,102.290001,103.18,102.150574,77800,2021-11-08,AIT
