Open,High,Low,Close,Adj Close,Volume,Date
32.330002,32.459999,30.889999,31.129999,30.510788,275200,2021-07-06
30.74,31.469999,30.424999,30.73,30.118746,591900,2021-07-07
30.01,30.9,28.969999,29.83,29.236647,544200,2021-07-08
30.200001,30.93,29.889999,30.799999,30.187349,315500,2021-07-09
30.709999,31.280001,30.299999,30.950001,30.33437,316800,2021-07-12
30.559999,30.73,29.215,29.4,28.815199,289700,2021-07-13
29.370001,29.899,28.629999,28.73,28.158524,249100,2021-07-14
28.59,28.99,27.9,27.98,27.423445,375000,2021-07-15
28.309999,29.190001,28.01,28.17,27.609665,255900,2021-07-16
27.290001,28.15,27.049999,27.370001,26.825581,280700,2021-07-19
27.48,29.09,27.07,28.540001,27.972309,358400,2021-07-20
28.799999,29.65,28.545,28.98,28.403553,224600,2021-07-21
28.51,28.700001,27.58,27.799999,27.247026,188100,2021-07-22
27.860001,28.0,26.700001,27.290001,26.747171,361100,2021-07-23
27.65,28.219999,27.0,27.719999,27.168615,503500,2021-07-26
30.6,30.75,28.334999,30.129999,29.530678,653100,2021-07-27
30.559999,30.559999,28.540001,28.639999,28.070316,408000,2021-07-28
28.99,29.594999,28.48,28.52,27.952703,583600,2021-07-29
28.5,29.219999,28.5,28.870001,28.295742,234000,2021-07-30
29.040001,29.790001,28.75,28.790001,28.217335,253900,2021-08-02
28.950001,29.549999,28.620001,29.200001,28.619179,278900,2021-08-03
28.639999,29.34,27.469999,27.610001,27.060804,168500,2021-08-04
28.07,28.450001,27.73,27.959999,27.403843,226600,2021-08-05
28.18,28.48,27.6,27.65,27.10001,135700,2021-08-06
27.459999,27.610001,26.9,26.98,26.443336,240900,2021-08-09
26.879999,28.1,26.84,27.860001,27.305832,218400,2021-08-10
27.860001,28.709999,27.790001,28.67,28.09972,276000,2021-08-11
28.84,29.67,28.280001,29.459999,28.874006,292500,2021-08-12
29.34,30.25,29.190001,29.24,28.658382,321400,2021-08-13
28.860001,29.200001,27.77,27.799999,27.247026,212400,2021-08-16
27.610001,28.219999,27.309999,27.799999,27.247026,381100,2021-08-17
27.57,29.02,27.57,28.23,27.668474,247300,2021-08-18
27.85,28.73,27.700001,28.299999,27.737078,349100,2021-08-19
28.209999,29.0,27.945,28.110001,27.550861,402800,2021-08-20
28.33,28.530001,26.74,26.91,26.374727,255100,2021-08-23
26.969999,28.110001,26.66,27.98,27.423445,252900,2021-08-24
28.040001,28.530001,27.459999,27.540001,26.992197,158900,2021-08-25
27.48,27.889999,26.870001,26.959999,26.423731,218900,2021-08-26
26.950001,27.809999,26.879999,27.59,27.041204,341900,2021-08-27
27.540001,28.16,27.5,27.889999,27.335234,251400,2021-08-30
27.82,28.01,26.370001,26.52,25.992487,309300,2021-08-31
26.709999,27.48,26.6,26.9,26.364927,270100,2021-09-01
27.24,27.24,26.309999,26.549999,26.021891,182000,2021-09-02
26.76,26.870001,26.309999,26.85,26.315922,184300,2021-09-03
26.6,26.969999,26.35,26.42,25.894476,187500,2021-09-07
26.34,26.620001,26.049999,26.34,25.816067,186900,2021-09-08
26.139999,27.09,26.139999,26.690001,26.159107,165400,2021-09-09
27.07,27.16,26.139999,26.23,25.708252,180500,2021-09-10
26.309999,26.68,25.934999,26.57,26.041492,196600,2021-09-13
26.66,26.969999,25.690001,25.860001,25.345615,219200,2021-09-14
25.700001,26.290001,25.559999,26.16,25.73918,227200,2021-09-15
26.24,26.610001,26.0,26.4,25.975319,188600,2021-09-16
26.49,27.209999,26.18,26.93,26.496794,990200,2021-09-17
26.33,26.690001,25.93,26.639999,26.211458,244300,2021-09-20
26.77,26.945,26.201,26.68,26.250814,222100,2021-09-21
26.940001,27.674999,26.780001,27.5,27.057625,166000,2021-09-22
27.719999,28.715,27.65,27.799999,27.352798,175600,2021-09-23
27.440001,27.870001,27.33,27.52,27.077303,133200,2021-09-24
27.76,29.315001,27.525,28.85,28.385906,168600,2021-09-27
28.85,29.135,28.1,28.110001,27.657814,141500,2021-09-28
28.32,29.0,27.92,28.49,28.031698,158200,2021-09-29
28.530001,28.530001,27.43,27.540001,27.096981,141100,2021-09-30
27.6,28.559999,27.58,28.1,27.64797,160500,2021-10-01
27.99,28.309999,27.469999,27.6,27.156017,146800,2021-10-04
27.67,28.23,27.378,27.92,27.470867,182700,2021-10-05
27.540001,27.879999,27.08,27.540001,27.096981,138400,2021-10-06
